wiktionary-cldr-merge	xho	http://wiktionary.org/	CC BY-SA
06967529-n	xho:lemma	Isi-Calatan	
06944911-n	xho:lemma	Isi-Czech	
06961557-n	xho:lemma	Isi-Welsh	
06954048-n	xho:lemma	Isi-Danish	
06950528-n	xho:lemma	Isi-German	
06976392-n	xho:lemma	Isi-Greek	
06895791-n	xho:lemma	Isi-Esperanto	
06966825-n	xho:lemma	Isi-Spanish	
06957896-n	xho:lemma	Isi-Estonian	
06966695-n	xho:lemma	Isi-Basque	
06974127-n	xho:lemma	Isi-Persia	
06958255-n	xho:lemma	Isi-Finnish	
06939756-n	xho:lemma	Isi-Taglog	
06955087-n	xho:lemma	Isi-Faroese	
06964901-n	xho:lemma	Isi-French	
06960778-n	xho:lemma	Isi-Irish	
06961122-n	xho:lemma	Scots	
06966454-n	xho:lemma	Isi-Galician	
06917280-n	xho:lemma	Guarani	
06971454-n	xho:lemma	Isi-Gujarati	
06987124-n	xho:lemma	Isi-Hebrew	
06970103-n	xho:lemma	Isi-Hindi	
06958836-n	xho:lemma	Isi-Hungarian	
06942699-n	xho:lemma	isiArmenian	
06896304-n	xho:lemma	Interlingua	
06939198-n	xho:lemma	Isi-Indonesian	
06954183-n	xho:lemma	Isi-Icelandic	
06964247-n	xho:lemma	Isi-Italian	
06929279-n	xho:lemma	Isi-Japanese	
06939431-n	xho:lemma	Isi-Javanese	
06978766-n	xho:lemma	Isi-Georgia	
06937348-n	xho:lemma	isiCambodia	
06979957-n	xho:lemma	Isi-Kannada	
06929171-n	xho:lemma	Isi-Korean	
06974558-n	xho:lemma	Kurdish	
06927736-n	xho:lemma	Kyrgyz	
06962600-n	xho:lemma	Isi-Latin	
06935594-n	xho:lemma	IsiLoathian	
06946199-n	xho:lemma	Isi-Lithuanian	
06946355-n	xho:lemma	Isi-Latvian	
06945473-n	xho:lemma	Isi-Macedonian	
06980175-n	xho:lemma	Isi-Malayalam	
06928839-n	xho:lemma	IsiMongolian	
06971281-n	xho:lemma	Isi-Marathi	
06939051-n	xho:lemma	Isi-Malay	
06988913-n	xho:lemma	Isi-Maltese	
06972985-n	xho:lemma	Isi-Nepali	
06952572-n	xho:lemma	Isi-Dutch	
06954303-n	xho:lemma	Isi-Norwegian	
06966190-n	xho:lemma	Iso-Occitan	
06971123-n	xho:lemma	Oriya	
06971605-n	xho:lemma	Isi-Punjabi	
06944720-n	xho:lemma	Isi-Polish	
06975132-n	xho:lemma	Pashto	
06966310-n	xho:lemma	Isi-Portuguese	
06968343-n	xho:lemma	Isi-Romanian	
06944348-n	xho:lemma	Isi-Russian	
06969129-n	xho:lemma	iSanskrit	
06969705-n	xho:lemma	isiSindhi	
06945095-n	xho:lemma	Serbo-Croatian	
06971741-n	xho:lemma	Isi-Sinhalese	
06944820-n	xho:lemma	Isi-Slovak	
06991004-n	xho:lemma	IsiSomaliya	
06942252-n	xho:lemma	Isi-Albania	
06939542-n	xho:lemma	Isi-Sudanese	
